audio_file,folder,filename,lyrics,lyrics_file,word_count
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050543.mp3,050,050543.mp3,i can't really help but get my controller on it there's only 2 new pike let's go down there lets get to somewhere else,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050543.txt,24
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050752.mp3,050,050752.mp3,Music Music Music Music Music Music,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050752.txt,6
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050753.mp3,050,050753.mp3,anyone Those are my favorite and are my consisted oh He still dreams fout diligence and a person and teammates a For me is a,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050753.txt,25
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050754.mp3,050,050754.mp3,You're dead! You're dead! You're dead! You're dead! You're dead! You're dead! You're dead! Jakakol's the force! You can't escape my power! You can't escape! Jagka!,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050754.txt,26
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051006.mp3,051,051006.mp3,Thank you.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051006.txt,2
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051112.mp3,051,051112.mp3,I'm not sure if I can make it. I'm not sure if I can make it. I'm not sure if I can make it. I'm not sure if I can make it.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051112.txt,32
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051120.mp3,051,051120.mp3,Thank you for watching.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051120.txt,4
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051158.mp3,051,051158.mp3,adding,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051158.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051260.mp3,051,051260.mp3,You and my family is not far from the tragedy Be here to listen to you talk about,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051260.txt,18
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051261.mp3,051,051261.mp3,Everything is gone Everyone is changing Everything is gone,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051261.txt,9
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051265.mp3,051,051265.mp3,Pilot come on,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051265.txt,3
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051267.mp3,051,051267.mp3,"I've been wanting to draw something they should definitely make you want to transform. They should definitely understand the ridges for drawing something by just drawing them, as a matter of fact, no moreing. I would like to try as long�가 to be as good as possible unless that makes some general",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051267.txt,52
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051268.mp3,051,051268.mp3,37 27 oh 37,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051268.txt,4
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051271.mp3,051,051271.mp3,For you It's just a cycle Did we all find out Anyway,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051271.txt,12
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051272.mp3,051,051272.mp3,"Around my seat, and entire petal. And swimming in street for the time. Slam, sand, sand, and быcs. FlAYN on the edge, her head smut. One here here in howוp, the theeena of blesses. RAYN On the third. RAYN On aboard. WHERE GAD cyber inf mangees?",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051272.txt,46
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051275.mp3,051,051275.mp3,"On slides, and on yesterday's for all tomorrow's Parents look at children and afraid Wish I could hold your hand now I'd carry you, I'd carry you, I'd carry you Wish I could be there with you now Big first for you Me I'd carry you裙 I'd carry you out So those day is up My dad slowly lifted off his hand Music",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051275.txt,63
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051276.mp3,051,051276.mp3,Eighteenれて Take homeowners all and retired. çek,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051276.txt,7
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051278.mp3,051,051278.mp3,cops,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051278.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051291.mp3,051,051291.mp3,United거!,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051291.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051292.mp3,051,051292.mp3,Song Song Kobayashi,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051292.txt,3
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051305.mp3,051,051305.mp3,Tap list where you can see CO1 covered,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051305.txt,8
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051333.mp3,051,051333.mp3,When you're the side,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051333.txt,4
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051655.mp3,051,051655.mp3,"Up above the padded sakes Your black 64 with the windows rolled down The shoe box of your high school tanks Too long, too long for us The hours until morning comes too long Too long for us, the hours until morning starts",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051655.txt,43
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051659.mp3,051,051659.mp3,"That was destroyed, me now, me now There's my own saddle Two wolves were in on one side They laughed and laughed while around the earth Why tailed grace the mountainside The rose",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051659.txt,33
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051661.mp3,051,051661.mp3,"And take you off. Oh, there you are, the magic theater. Black dress hands up in the air with her. You have heard about this. And time to time. I thought I'd seen it.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051661.txt,34
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051784.mp3,051,051784.mp3,"I'm not a bad, coming in on you I'll try it out and miss you so much Come in on me I'll try it out and I'll try it out Come in on heaven, come in on me I'll try it out and miss you so much I don't want you to care I don't want you to care I don't want you to care I don't want you to care",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051784.txt,71
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051918.mp3,051,051918.mp3,You can go to church and sing a new You can judge me by the color of my skin You can leave a lion till you die,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051918.txt,27
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051919.mp3,051,051919.mp3,"And I'll get to bed, later night That's the time she makes this ride When she makes love to me",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051919.txt,20
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051991.mp3,051,051991.mp3,sincerely hope you enjoyed this impressivelで don't just like i got it subscribe subscribe subscribe,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051991.txt,15
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/051/051999.mp3,051,051999.mp3,DRUMMONikka DRUMMONikka DRUMMONikka DRUMMONikka DRUMONA,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/051_051999.txt,5
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052000.mp3,052,052000.mp3,I don't care what you believe in,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052000.txt,7
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052034.mp3,052,052034.mp3,get back,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052034.txt,2
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052035.mp3,052,052035.mp3,To all. Well.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052035.txt,3
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052036.mp3,052,052036.mp3,"So goodgentle, instantly! mm-mm, mandyen ha ya Yea ah mandyen ha ah Ah So good ment��도 ik hapor akactly taenaia... tratar gloke aging fell necesitain today consulted campusน du",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052036.txt,29
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052037.mp3,052,052037.mp3,Daaap... tampim... One... One... One... That's right..,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052037.txt,7
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052039.mp3,052,052039.mp3,a,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052039.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052040.mp3,052,052040.mp3,sorter,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052040.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052042.mp3,052,052042.mp3,[♪ out Now go go go go go go to [♪ out,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052042.txt,12
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052044.mp3,052,052044.mp3,Wannaíll me tell you how you want to ask a few questions? Wales Life,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052044.txt,14
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052045.mp3,052,052045.mp3,five,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052045.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052118.mp3,052,052118.mp3,In all my amy I'm your puppy And show my mommy We'll have a party in all my amy you you,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052118.txt,21
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052119.mp3,052,052119.mp3,"Don't but you mustn't hold on, who lets you bear another form It appears the tide is rising We're close to the end of time We'll save those magic words The ones that you'll always say to me Save those magic words And I'll make an o...",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052119.txt,47
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052120.mp3,052,052120.mp3,Lip back then I could bear my chest but I won't show my sorrow She plays the music I know what's gonna follow Cause love is I go ony It's everybody is pedigree Love it,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052120.txt,35
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052121.mp3,052,052121.mp3,"When you're from Venezuela, and you're almost anorexic, and you have a lot of pimples, and you're not doing so well, you think about philosophy. But anyway, so then that led to the fact that we both love music, and then Lane's big band was The Beatles, and my big band was The Rolling Stones. And you know The Beatles and The Rolling Stones were rivals. Yeah, hey, you weren't supposed to say that rhyming, but anyway.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052121.txt,77
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052122.mp3,052,052122.mp3,"People in places, translucents and faces, a little enlightenment, a little radiance, Unlittle acceptance, and a little bit of loving, It's always got us through a little...",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052122.txt,27
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052123.mp3,052,052123.mp3,"We got a heavy roadblock The suit's shitting my car Calling me an oligarch and sleigh Trison, hey Columbus, send your threes Sister ships on, back to space Look, a rocket's shick down Look, a rocket's break down Look, get your back, it's a sneak attack Look, a rocket's shick down Look, a rocket's meltdown Look, a rocket's showdown Well come on, we'll bring your bones It's so detrac-o-t",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052123.txt,69
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052124.mp3,052,052124.mp3,"Which is a lot of fun. And Luis was really worried that they were going to stop him at the airport and throw him in a, throwing one of those infamous Caracas prisons. Yeah, I'm going to get a friendly little pat on the shoulder. And you've got a third album in the works. It's about to come out. It's called Alone With You. And it's got some of our best stuff ever. Yeah, it's a lot of fun. And we're going to do another song from it. This one is called Ringtone. This new record is...",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052124.txt,97
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052125.mp3,052,052125.mp3,"It's so much to want to touch. It's not so real. To make me feel, make me feel. I'm about to die. But I got it.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052125.txt,26
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052126.mp3,052,052126.mp3,"Of course, there's a huge coastline, but the the the Nexus of Venezuela is the Janus which is this Land this expansive land where there is you know capivaras and you know all those crazy, you know big giant snakes and Isn't that that giant rat the copy butter copy butter right? Yeah, yeah Cut those things on Easter. Well, that's what they do. Yeah, and you know, there's that that The snake that dig to Mariposa, you know I heard never heard of that",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052126.txt,85
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052127.mp3,052,052127.mp3,There's a blue door in every town and the future is underground I've been there and I know what I've seen Do me a favor? No...,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052127.txt,26
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052128.mp3,052,052128.mp3,"I'm not going to be a fool, I'm not going to be a fool I'm sleeping and sliding through my life My favorite color is black And from this black, all the screen does gross It's like a vine out of control Jack, wake up, quickly Look how large the beans got I'm going to let...",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052128.txt,56
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052129.mp3,052,052129.mp3,"The gig is on the 12th, which is a Friday night, and we're on promptly at 8.30. You know, I'm going to say that because, you know, it will take us about 30 minutes to get on stage, I'm sure. So, but get there at 8.30 because, you know, we'll probably be on at 8.45-ish. You know, it's 11-piece band and it takes quite a time. It's like that episode of the little rascals where they lug everything on stage and they're playing and the guys' hair keeps blowing off. Anyway, we're going to do one more and this is from our first second and third album.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052129.txt,107
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052141.mp3,052,052141.mp3,"You're so kindly, I want to touch you I want to touch you I want to touch you Is that the hat or do you really have rabbit ears? There's a Ferrari car where your head is supposed to be Is that the hat or do you really have rabbit ears? There's a Ferrari car where your head is supposed to be Funny have a job",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052141.txt,66
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052375.mp3,052,052375.mp3,"I have my love in him What I love is enough Why love? We've been living in the same house How I love A mean, mean, mean, mean I rescue him now A mean, mean, mean, meaner I have my love, my love, mean, mean, meaner I have my love in him",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052375.txt,52
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052389.mp3,052,052389.mp3,"I'm a sister in my garden, so I'm a child and a man. I'm a little too young, I'm a trod, I'm trod. I'm a sister in my garden, so I'm a shame to be standing in the tank, on a Penâyer, and it's been awhile and I Procedure. But I can't take a whole Penâyer from scratch.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052389.txt,58
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052393.mp3,052,052393.mp3,I'm a stranger to you If you're one If you're a lady There's no time There's no time for you I'll be your wife,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052393.txt,24
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052409.mp3,052,052409.mp3,F F L,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052409.txt,3
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052446.mp3,052,052446.mp3,Stück,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052446.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052452.mp3,052,052452.mp3,"All that you hold dear, do you fear what you will find? As the dawn breaks through the night, I'm all for forever long And for the home I found in your eyes",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052452.txt,33
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052500.mp3,052,052500.mp3,In the dark and the cold I'm losing hope As it runs through your veins There's a fire within It burns under your skin,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052500.txt,24
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052501.mp3,052,052501.mp3,"I never stop loving you All the roads you have traveled down Have I forgotten that compass And right now, homes where you are to be With your family Oh, you think of me I'm last train home",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052501.txt,38
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052502.mp3,052,052502.mp3,I still kept pressing until I saw the sunrise And it burned through my eyes into my mind Heading down the open road My heart was empty,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052502.txt,27
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052508.mp3,052,052508.mp3,"Really ain't got nothing to lose Really ain't got nothing to lose Nothing to lose, nothing to lose",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052508.txt,18
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052522.mp3,052,052522.mp3,When I die I'm going to be a ayuda When I die I'm going to see Las Vegas Las Vegas United And destiny won't winや For the sake of can I do this?,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052522.txt,33
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052579.mp3,052,052579.mp3,Welcome to no cupcake済.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052579.txt,4
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052628.mp3,052,052628.mp3,zon,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052628.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052629.mp3,052,052629.mp3,it,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052629.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052631.mp3,052,052631.mp3,Thanks THIS is THE END,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052631.txt,5
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052632.mp3,052,052632.mp3,linking,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052632.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052633.mp3,052,052633.mp3,Music Music Music Music Music Music Music Music Music Music,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052633.txt,10
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052634.mp3,052,052634.mp3,years as Veterans.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052634.txt,3
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052635.mp3,052,052635.mp3,��,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052635.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052636.mp3,052,052636.mp3,The,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052636.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052637.mp3,052,052637.mp3,Ouais yo!? C'mon!,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052637.txt,3
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052638.mp3,052,052638.mp3,ään 6 Ye osbaen jaيرin NAN iPad Light Eleor What are you doing deep? Getting ready for the futurealahag興 strengthening good bye godma,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052638.txt,23
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052641.mp3,052,052641.mp3,This is not a drill. Repeat. This is not a drill.,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052641.txt,11
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052642.mp3,052,052642.mp3,coat page,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052642.txt,2
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052644.mp3,052,052644.mp3,"Go to Charlotte Moon 243 to get Darius Coalition on Team PCS Twin ! Talk痒!? Go, go home...... Do you know that we missed Cut şöyle? Bye, everybody we're wasting too much time Follow L tents....",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052644.txt,36
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052645.mp3,052,052645.mp3,Ricklas,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052645.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052647.mp3,052,052647.mp3,"3g flour, 3g yeast.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052647.txt,4
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052648.mp3,052,052648.mp3,If you remember the end of spends reminiscent of Apple products except budget!,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052648.txt,13
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052650.mp3,052,052650.mp3,ет Vit,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052650.txt,2
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052859.mp3,052,052859.mp3,jungly,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052859.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052860.mp3,052,052860.mp3,TT,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052860.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052861.mp3,052,052861.mp3,!!!,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052861.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052862.mp3,052,052862.mp3,And,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052862.txt,1
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052945.mp3,052,052945.mp3,"what do you think about going with fantasy. And investing in fantasy. You said you have a history watch that you have rights. Oh, when the rains fell down",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052945.txt,29
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052946.mp3,052,052946.mp3,I'm too old when I'm dead When you're around I'm as old as you're around I wait for you To come around And when you pull out,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052946.txt,27
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052947.mp3,052,052947.mp3,I-I-I-I-I-I-I-I-I-I-A Little King I swear But this is not a dream I regret that this is what it should be in a magazine Son of the broken die,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052947.txt,28
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052948.mp3,052,052948.mp3,"And I'll wait for the day when you will come But to me, oh soon I'll have you Oh soon I'll have you",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052948.txt,23
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052950.mp3,052,052950.mp3,I would back back all the tears To your hands over my body Cold and wanting you And the colors of the sky were so Unwrapped to green to blue,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052950.txt,30
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052951.mp3,052,052951.mp3,"My, oh your, women, wish to go Won't you hear all the time I'll be your I love the best of quick",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052951.txt,22
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052953.mp3,052,052953.mp3,"We've had me, my words, floating on an apple tree And telling all the world that I once knew That I will love with you As I die",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052953.txt,28
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052954.mp3,052,052954.mp3,She won't hurt me. She has dreams Ever night that the box of Cedar Way Where you went to lay Will come to lie,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052954.txt,24
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/052/052955.mp3,052,052955.mp3,In your ways upon mine,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/052_052955.txt,5
